City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint George,90,US,1584157038,93,37.1,-113.58,48.99,3.36
Cape Town,75,ZA,1584156472,93,-33.93,18.42,60.01,8.05
Muros,33,ES,1584157163,93,42.78,-9.06,46.0,3.36
Albany,20,US,1584156902,52,42.6,-73.97,42.01,11.41
Jamestown,1,US,1584157168,59,42.1,-79.24,37.0,11.41
George Town,20,MY,1584156917,62,5.41,100.34,89.6,3.36
Gaozhou,76,CN,1584157171,59,21.94,110.85,76.28,6.17
Mataura,0,NZ,1584157172,59,-46.19,168.86,66.07,0.74
Henties Bay,0,NA,1584157173,95,-22.12,14.28,61.0,3.87
Bredasdorp,8,ZA,1584157174,87,-34.53,20.04,55.4,1.12
Atuona,34,PF,1584157176,67,-9.8,-139.03,82.8,9.15
Mahébourg,75,MU,1584157177,100,-20.41,57.7,79.0,7.72
Ushuaia,68,AR,1584157136,81,-54.8,-68.3,48.2,6.93
Khanbari,100,NP,1584157179,60,27.37,87.2,48.29,4.29
Palencia,0,ES,1584157180,81,42.42,-4.5,37.99,3.38
Souillac,75,MU,1584157181,100,-20.52,57.52,79.0,7.72
Lebu,0,CL,1584157182,94,-37.62,-73.65,49.59,3.98
Bluff,23,NZ,1584157183,50,-46.6,168.33,64.45,5.59
Torbay,90,CA,1584157185,73,47.67,-52.73,27.0,12.75
Kruisfontein,4,ZA,1584157186,94,-34.0,24.73,63.21,5.28
Manaure,0,CO,1584157187,86,11.78,-72.44,77.43,15.9
Piopio,0,NZ,1584157188,31,-38.47,175.02,82.0,3.0
Plettenberg Bay,4,ZA,1584157189,92,-34.05,23.37,64.87,4.18
Hilo,90,US,1584157190,83,19.73,-155.09,75.2,9.17
Port Alfred,1,ZA,1584157191,97,-33.59,26.89,66.0,1.01
Grand Gaube,75,MU,1584157070,100,-20.01,57.66,79.0,11.43
Tasiilaq,100,GL,1584157193,77,65.61,-37.64,6.8,1.12
San Quintín,7,MX,1584157194,82,30.48,-115.95,60.1,4.03
Fuxin,0,CN,1584157195,32,42.02,121.66,41.88,12.19
Nikolskoye,100,RU,1584157196,58,59.7,30.79,24.8,11.18
Srednekolymsk,55,RU,1584157197,90,67.45,153.68,-13.61,12.08
Hasaki,75,JP,1584157198,93,35.73,140.83,41.0,16.11
Yangi Marg`ilon,90,UZ,1584157199,65,40.43,71.72,46.4,6.93
Ponta do Sol,75,PT,1584157200,63,32.67,-17.1,60.8,14.99
Pitimbu,40,BR,1584157202,94,-7.47,-34.81,78.8,6.76
Husavik,90,IS,1584157203,73,66.04,-17.34,26.6,23.04
Kapaa,40,US,1584157035,60,22.08,-159.32,77.0,10.29
Mapastepec,0,MX,1584157205,79,15.43,-92.9,74.17,3.62
Kaitangata,0,NZ,1584157206,84,-46.28,169.85,54.99,8.75
New Norfolk,75,AU,1584157207,47,-42.78,147.06,62.01,16.11
Kalmunai,60,LK,1584157208,67,7.42,81.82,81.88,10.04
Mossamedes,100,AO,1584157210,73,-15.2,12.15,75.07,5.59
Serafimovich,100,RU,1584157211,75,49.58,42.74,44.01,8.61
Lavrentiya,100,RU,1584157050,95,65.58,-171.0,29.97,20.45
Avarua,8,CK,1584157213,74,-21.21,-159.78,84.2,4.7
Sobolevo,0,RU,1584157214,88,54.43,31.9,32.0,7.56
Saint-Philippe,75,RE,1584156928,94,-21.36,55.77,77.0,17.22
Tuktoyaktuk,75,CA,1584157216,92,69.45,-133.04,19.4,31.09
Parrita,20,CR,1584157217,68,9.52,-84.32,71.6,11.41
Amapá,85,BR,1584157219,93,1.0,-52.0,74.37,5.23
Mar del Plata,0,AR,1584157220,78,-38.0,-57.56,75.0,11.41
Khatanga,100,RU,1584157221,84,71.97,102.5,3.15,17.02
Punta Arenas,57,CL,1584157222,62,-53.15,-70.92,51.8,21.92
Butaritari,100,KI,1584157117,71,3.07,172.79,83.89,10.25
Oistins,40,BB,1584157224,83,13.07,-59.53,77.0,19.46
Muli,26,MV,1584157225,77,2.92,73.57,82.65,8.08
Atambua,50,ID,1584157226,69,-9.11,124.89,81.73,6.51
Aguada de Pasajeros,1,CU,1584157227,83,22.39,-80.85,73.4,8.05
Oriximiná,50,BR,1584157229,90,-1.77,-55.87,76.69,3.96
Severo-Kuril'sk,82,RU,1584157230,91,50.68,156.12,22.39,30.51
Qaanaaq,1,GL,1584157232,56,77.48,-69.36,-21.69,5.86
Lagoa,40,PT,1584157080,71,39.05,-27.98,60.04,6.98
Colomi,75,BO,1584157236,67,-17.35,-65.87,62.6,3.36
Kambove,96,CD,1584157237,98,-10.88,26.6,61.23,1.23
Poum,100,NC,1584157120,83,-20.23,164.02,81.63,10.31
Aklavik,75,CA,1584157239,68,68.22,-135.01,24.8,3.36
Mayumba,100,GA,1584157240,78,-3.43,10.66,82.4,0.6
Vila Velha,90,BR,1584157241,94,-20.33,-40.29,75.2,3.36
Boyuibe,82,BO,1584157242,66,-20.42,-63.28,71.19,4.7
Busselton,100,AU,1584156946,28,-33.65,115.33,87.01,3.56
Gamba,100,GA,1584157244,90,-2.65,10.0,77.95,2.19
Roald,20,NO,1584157246,60,62.58,6.13,32.0,11.41
Pevek,100,RU,1584157247,93,69.7,170.31,-3.95,8.1
Tuatapere,68,NZ,1584157248,45,-46.13,167.68,66.06,2.51
Hobart,75,AU,1584157210,47,-42.88,147.33,62.01,16.11
Khromtau,78,KZ,1584157250,79,50.25,58.43,33.73,15.48
Barrow,90,US,1584157251,85,71.29,-156.79,24.8,35.57
Non Thai,5,TH,1584157252,53,15.2,102.04,97.0,5.82
Kokoda,100,PG,1584157253,70,-8.88,147.74,72.7,7.23
Pisco,46,PE,1584157254,83,-13.7,-76.22,75.99,16.11
Ajra,20,IN,1584157255,41,16.12,74.2,75.2,4.7
Amarante do Maranhão,100,BR,1584157258,97,-5.57,-46.74,72.86,3.47
Quatre Cocos,75,MU,1584157259,100,-20.21,57.76,79.0,13.51
De Aar,0,ZA,1584157260,81,-30.65,24.01,61.59,7.36
Mikkeli,75,FI,1584157261,79,61.69,27.27,19.4,8.05
Port Elizabeth,90,ZA,1584157226,100,-33.92,25.57,62.6,12.75
Juan de Ayolas,3,PY,1584157263,47,-27.4,-56.9,83.05,3.87
East London,8,ZA,1584157264,86,-33.02,27.91,72.03,15.93
Nara,75,JP,1584157184,81,34.69,135.8,50.0,2.24
Xining,66,CN,1584157267,35,36.62,101.77,34.12,2.55
Ancud,6,CL,1584157268,100,-41.87,-73.82,46.4,3.36
Māngrol,0,IN,1584157269,54,21.12,70.12,71.8,17.63
Havøysund,100,NO,1584157271,85,71.0,24.66,15.8,26.4
Vawkavysk,40,BY,1584157272,69,53.16,24.45,37.4,31.32
Loukhi,100,RU,1584157273,91,66.08,33.04,18.05,21.99
Keetmanshoop,0,NA,1584157274,59,-26.58,18.13,64.4,3.36
Qasigiannguit,100,GL,1584157275,71,68.82,-51.19,5.0,17.22
Chui,0,UY,1584157276,82,-33.7,-53.46,70.81,11.74
Adrar,0,MR,1584157277,13,20.5,-10.07,63.91,4.7
Santa Isabel Rio Negro,36,BR,1584157278,70,-0.41,-65.02,78.84,1.63
Tucumã,100,BR,1584157153,94,-0.18,-50.05,77.14,9.37
Narrabri,0,AU,1584157280,28,-30.32,149.78,82.4,10.29
Rio Grande,0,BR,1584157281,87,-32.03,-52.1,73.99,1.01
Innisfail,94,AU,1584157282,39,-17.53,146.03,88.0,4.0
Margate,100,GB,1584157283,87,51.38,1.39,46.4,14.99
Cabedelo,40,BR,1584157284,94,-6.98,-34.83,78.8,6.11
Faanui,100,PF,1584157286,77,-16.48,-151.75,83.07,14.5
Santo Niño,20,PH,1584157287,38,6.43,124.7,93.2,9.17
Ilulissat,100,GL,1584157288,71,69.22,-51.1,5.0,17.22
Rikitea,24,PF,1584157289,74,-23.12,-134.97,77.11,12.35
Ahipara,78,NZ,1584157290,69,-35.17,173.17,69.24,6.89
Beyneu,0,KZ,1584157291,61,45.32,55.2,43.41,9.31
Puerto Ayora,53,EC,1584157118,82,-0.74,-90.35,79.0,5.01
Hithadhoo,20,MV,1584157294,58,-0.6,73.08,83.64,7.29
Río Gallegos,95,AR,1584157295,70,-51.62,-69.22,48.2,8.05
Half Moon Bay,90,US,1584157231,76,37.46,-122.43,55.99,9.17
Arraial do Cabo,0,BR,1584157297,86,-22.97,-42.03,77.32,11.61
Bathsheba,40,BB,1584157300,83,13.22,-59.52,77.0,19.46
Acapulco de Juárez,40,MX,1584157199,74,16.86,-99.89,80.6,4.7
Bubaque,0,GW,1584157303,60,11.28,-15.83,81.86,12.3
Thompson,40,CA,1584157258,49,55.74,-97.86,-0.4,8.05
Bambous Virieux,75,MU,1584157305,100,-20.34,57.76,79.0,11.77
Bethel,1,US,1584157089,36,41.37,-73.41,54.0,11.41
Nacozari,100,MX,1584157307,78,25.34,-108.26,70.0,5.99
Hong Kong,24,HK,1584157279,56,22.29,114.16,75.99,4.7
Launceston,75,AU,1584157244,44,-41.45,147.17,63.0,11.41
Brae,100,GB,1584157310,69,60.4,-1.35,41.0,18.34
Longyearbyen,40,SJ,1584157313,70,78.22,15.64,-5.8,20.8
Hermanus,0,ZA,1584157314,94,-34.42,19.23,59.0,5.01
Guerrero Negro,1,MX,1584157252,71,27.98,-114.06,62.67,10.07
Fort Smith,75,US,1584157200,93,35.39,-94.4,45.0,14.99
Carnarvon,40,AU,1584157318,66,-24.87,113.63,86.0,13.87
Nsanje,100,MW,1584157319,97,-16.92,35.26,68.07,2.08
Gorontalo,27,ID,1584157320,51,0.54,123.06,89.55,4.7
Gladstone,0,AU,1584157321,39,-23.85,151.25,84.2,11.41
Naze,75,JP,1584157322,82,28.37,129.48,62.6,11.41
Cururupu,99,BR,1584157323,97,-1.83,-44.87,74.46,2.21
Fortuna,90,US,1584157324,93,40.6,-124.16,48.99,8.05
Saint Paul Harbor,1,US,1584157325,55,57.79,-152.41,37.4,1.32
Constitución,28,CL,1584157327,81,-35.33,-72.42,57.22,6.96
Katsuura,75,JP,1584157283,87,35.13,140.3,48.2,20.8
Lázaro Cárdenas,34,MX,1584157329,82,17.96,-102.2,76.42,2.01
Atasū,7,KZ,1584157330,80,48.68,71.64,25.14,5.99
Kavieng,5,PG,1584157331,78,-2.57,150.8,83.39,13.49
Akdepe,0,TM,1584157332,65,42.06,59.38,41.0,6.93
Tautira,40,PF,1584157333,59,-17.73,-149.15,89.6,9.17
Lorengau,1,PG,1584157334,77,-2.02,147.27,84.42,15.3
Digha,0,IN,1584157335,62,21.68,87.55,78.62,10.31
Nuevo Progreso,3,MX,1584157336,92,23.17,-97.95,73.99,1.01
Igboho,4,NG,1584157337,77,8.83,3.75,75.97,2.73
Phibun Mangsahan,50,TH,1584157338,59,15.24,105.23,93.99,3.36
Constantine,100,DZ,1584157340,93,36.37,6.61,48.2,1.12
Los Llanos de Aridane,75,ES,1584157341,72,28.66,-17.92,66.2,11.41
Sabang,0,ID,1584157342,75,5.89,95.32,83.97,15.57
Nome,90,US,1584157313,86,64.5,-165.41,26.6,14.99
Ivanteyevka,75,RU,1584157121,93,55.97,37.92,37.99,13.42
Vung Tau,39,VN,1584157345,59,10.35,107.08,85.91,13.2
Nauta,100,PE,1584157346,92,-4.51,-73.58,76.03,2.13
Puerto del Rosario,99,ES,1584157348,77,28.5,-13.86,64.4,18.34
Skjervøy,100,NO,1584157349,59,70.03,20.97,25.61,19.44
Vaini,75,TO,1584157187,94,-21.2,-175.2,78.8,12.75
Sola,75,VU,1584157351,66,-13.88,167.55,89.6,15.05
Bereda,90,ES,1584157353,100,43.27,-7.54,46.0,5.82
Beloha,33,MG,1584157355,91,-25.17,45.05,68.74,8.63
Atar,0,MR,1584157356,12,20.52,-13.05,68.22,7.76
Fairbanks,1,US,1584157357,66,64.84,-147.72,24.01,1.99
Bull Savanna,5,JM,1584157358,88,17.89,-77.59,68.0,5.06
Clyde River,90,CA,1584157359,83,70.47,-68.59,-14.8,16.11
Salinópolis,76,BR,1584157360,81,-0.61,-47.36,81.82,13.49
Lüderitz,0,NA,1584157361,82,-26.65,15.16,64.4,5.82
Manjacaze,0,MZ,1584157362,96,-24.71,33.88,69.13,2.46
Neuquén,100,AR,1584157363,36,-38.95,-68.06,64.4,2.24
Lavumisa,77,SZ,1584157364,97,-27.31,31.89,69.22,2.95
Sechura,16,PE,1584157366,88,-5.56,-80.82,74.95,5.75
Karratha,35,AU,1584157367,70,-20.74,116.85,83.17,7.16
Hanzhong,0,CN,1584157371,32,33.07,107.03,58.1,2.33
Qandala,19,SO,1584157372,73,11.47,49.87,73.27,10.96
Hays,90,US,1584157373,78,30.05,-98.03,73.4,17.22
Pokhara,66,NP,1584157374,38,28.23,83.98,68.32,1.3
Batemans Bay,100,AU,1584157375,56,-35.72,150.18,64.0,8.01
Vestmannaeyjar,4,IS,1584157376,77,63.44,-20.27,25.65,18.25
Assomada,81,CV,1584157377,27,15.1,-23.68,73.4,10.29
Matadi,100,CD,1584157378,96,-5.82,13.45,74.21,2.19
Bhandāra,75,IN,1584157379,60,21.17,79.65,73.4,5.82
Thinadhoo,62,MV,1584157380,67,0.53,72.93,83.26,9.35
Paamiut,8,GL,1584157381,64,61.99,-49.67,3.88,10.18
Geraldton,90,AU,1584157386,38,-28.77,114.6,89.6,16.11
Severodvinsk,90,RU,1584157387,100,64.56,39.83,28.4,2.24
Padang,34,ID,1584157208,58,-0.95,100.35,83.84,2.28
Canutama,60,BR,1584157389,90,-6.53,-64.38,76.82,1.68
Yellowknife,20,CA,1584157390,75,62.46,-114.35,-18.0,8.05
Kiunga,76,PG,1584157391,50,-6.12,141.29,92.34,4.72
Abu Dhabi,100,AE,1584157392,35,24.47,54.37,72.0,4.7
Vanimo,100,PG,1584157393,77,-2.67,141.3,82.2,10.38
Leningradskiy,12,RU,1584157388,94,69.38,178.42,-0.58,5.88
Bulgan,0,MN,1584157395,73,48.81,103.53,27.28,5.41
Castro,97,BR,1584157396,76,-24.79,-50.01,60.6,3.89
Dunedin,0,NZ,1584157341,61,-45.87,170.5,64.99,5.99
Cap Malheureux,75,MU,1584157398,100,-19.98,57.61,79.0,11.43
Klaksvík,100,FO,1584157399,86,62.23,-6.59,37.4,9.17
Aswān,0,EG,1584157401,52,24.09,32.91,57.47,8.79
Southbridge,1,US,1584157402,48,42.08,-72.03,46.99,16.11
Necochea,98,AR,1584157403,88,-38.55,-58.74,69.01,11.01
Bowen,91,AU,1584157297,39,-20.02,148.23,87.01,17.22
Vitim,48,RU,1584157405,88,59.45,112.56,4.82,5.82
Maniitsoq,100,GL,1584157406,90,65.42,-52.9,9.01,8.34
Biloela,0,AU,1584157407,34,-24.42,150.5,82.54,19.77
Vardø,100,NO,1584157408,75,70.37,31.11,22.32,26.69
Colares,60,PT,1584157171,93,38.8,-9.45,55.99,9.17
Mindelo,75,CV,1584157410,73,16.89,-24.98,71.6,11.41
Visnes,89,NO,1584157411,64,59.36,5.22,36.0,9.17
